Task 1- Release:  0.100, Completion:  0.209, Response: 0.109, WCRT: 0.109, Next Release:  0.400
Task 2- Release:  0.100, Completion:  0.306, Response: 0.206, WCRT: 0.206, Next Release:  0.500
Task 1- Release:  0.400, Completion:  0.500, Response: 0.100, WCRT: 0.109, Next Release:  0.700
Task 2- Release:  0.500, Completion:  0.600, Response: 0.100, WCRT: 0.206, Next Release:  0.900
Task 3- Release:  0.100, Completion:  0.604, Response: 0.504, WCRT: 0.504, Next Release:  0.700
Task 1- Release:  0.700, Completion:  0.801, Response: 0.101, WCRT: 0.109, Next Release:  1.000
Task 3- Release:  0.700, Completion:  0.898, Response: 0.198, WCRT: 0.504, Next Release:  1.300
Task 2- Release:  0.900, Completion:  0.994, Response: 0.094, WCRT: 0.206, Next Release:  1.300
Task 6- Release:  0.100, Completion:  0.995, Response: 0.895, WCRT: 0.895, Next Release:  1.300
Task 1- Release:  1.000, Completion:  1.105, Response: 0.105, WCRT: 0.109, Next Release:  1.300
Task 5- Release:  0.100, Completion:  1.191, Response: 1.091, WCRT: 1.091, Next Release:  1.300
Task 4- Release:  0.100, Completion:  1.284, Response: 1.184, WCRT: 1.184, Next Release:  1.300
Task 1- Release:  1.300, Completion:  1.401, Response: 0.101, WCRT: 0.109, Next Release:  1.600
Task 2- Release:  1.300, Completion:  1.492, Response: 0.192, WCRT: 0.206, Next Release:  1.700
Task 3- Release:  1.300, Completion:  1.582, Response: 0.282, WCRT: 0.504, Next Release:  1.900
Task 6- Release:  1.300, Completion:  1.673, Response: 0.373, WCRT: 0.895, Next Release:  2.500
Task 5- Release:  1.300, Completion:  1.764, Response: 0.464, WCRT: 1.091, Next Release:  2.500
Task 4- Release:  1.300, Completion:  1.854, Response: 0.554, WCRT: 1.184, Next Release:  2.500
Task 1- Release:  1.600, Completion:  2.070, Response: 0.470, WCRT: 0.470, Next Release:  1.900 ==> Task 1 violates Deadline!
Task 1- Release:  1.900, Completion:  2.165, Response: 0.265, WCRT: 0.470, Next Release:  2.200
Task 1- Release:  2.200, Completion:  2.293, Response: 0.093, WCRT: 0.470, Next Release:  2.500
Task 2- Release:  1.700, Completion:  2.349, Response: 0.649, WCRT: 0.649, Next Release:  2.100 ==> Task 2 violates Deadline!
Task 2- Release:  2.100, Completion:  2.442, Response: 0.342, WCRT: 0.649, Next Release:  2.500
Task 1- Release:  2.500, Completion:  2.593, Response: 0.093, WCRT: 0.470, Next Release:  2.800
Task 2- Release:  2.500, Completion:  2.688, Response: 0.188, WCRT: 0.649, Next Release:  2.900
Task 3- Release:  1.900, Completion:  2.721, Response: 0.821, WCRT: 0.821, Next Release:  2.500 ==> Task 3 violates Deadline!
Task 3- Release:  2.500, Completion:  2.813, Response: 0.313, WCRT: 0.821, Next Release:  3.100
Task 1- Release:  2.800, Completion:  2.914, Response: 0.114, WCRT: 0.470, Next Release:  3.100
Task 2- Release:  2.900, Completion:  3.008, Response: 0.108, WCRT: 0.649, Next Release:  3.300
Task 6- Release:  2.500, Completion:  3.090, Response: 0.590, WCRT: 0.895, Next Release:  3.700
Task 1- Release:  3.100, Completion:  3.212, Response: 0.112, WCRT: 0.470, Next Release:  3.400
Task 2- Release:  3.300, Completion:  3.398, Response: 0.098, WCRT: 0.649, Next Release:  3.700
Task 3- Release:  3.100, Completion:  3.402, Response: 0.302, WCRT: 0.821, Next Release:  3.700
Task 1- Release:  3.400, Completion:  3.512, Response: 0.112, WCRT: 0.470, Next Release:  3.700
Task 5- Release:  2.500, Completion:  3.569, Response: 1.069, WCRT: 1.091, Next Release:  3.700
Task 4- Release:  2.500, Completion:  3.675, Response: 1.175, WCRT: 1.184, Next Release:  3.700
Task 1- Release:  3.700, Completion:  3.823, Response: 0.123, WCRT: 0.470, Next Release:  4.000
Task 2- Release:  3.700, Completion:  3.934, Response: 0.234, WCRT: 0.649, Next Release:  4.100
Task 1- Release:  4.000, Completion:  4.100, Response: 0.100, WCRT: 0.470, Next Release:  4.300
Task 2- Release:  4.100, Completion:  4.194, Response: 0.094, WCRT: 0.649, Next Release:  4.500
Task 3- Release:  3.700, Completion:  4.219, Response: 0.519, WCRT: 0.821, Next Release:  4.300
Task 1- Release:  4.300, Completion:  4.400, Response: 0.100, WCRT: 0.470, Next Release:  4.600
Task 3- Release:  4.300, Completion:  4.492, Response: 0.192, WCRT: 0.821, Next Release:  4.900
Task 6- Release:  3.700, Completion:  4.497, Response: 0.797, WCRT: 0.895, Next Release:  4.900
Task 2- Release:  4.500, Completion:  4.604, Response: 0.104, WCRT: 0.649, Next Release:  4.900
Task 1- Release:  4.600, Completion:  4.708, Response: 0.108, WCRT: 0.470, Next Release:  4.900
Task 5- Release:  3.700, Completion:  4.774, Response: 1.074, WCRT: 1.091, Next Release:  4.900
Task 4- Release:  3.700, Completion:  4.867, Response: 1.167, WCRT: 1.184, Next Release:  4.900
Task 1- Release:  4.900, Completion:  4.997, Response: 0.097, WCRT: 0.470, Next Release:  5.200
Task 2- Release:  4.900, Completion:  5.093, Response: 0.193, WCRT: 0.649, Next Release:  5.300
Task 3- Release:  4.900, Completion:  5.191, Response: 0.291, WCRT: 0.821, Next Release:  5.500
Task 1- Release:  5.200, Completion:  5.296, Response: 0.096, WCRT: 0.470, Next Release:  5.500
Task 2- Release:  5.300, Completion:  5.398, Response: 0.098, WCRT: 0.649, Next Release:  5.700
Task 6- Release:  4.900, Completion:  5.467, Response: 0.567, WCRT: 0.895, Next Release:  6.100
Task 1- Release:  5.500, Completion:  5.603, Response: 0.103, WCRT: 0.470, Next Release:  5.800
Task 3- Release:  5.500, Completion:  5.697, Response: 0.197, WCRT: 0.821, Next Release:  6.100
Task 2- Release:  5.700, Completion:  5.809, Response: 0.109, WCRT: Task 1- Release:  5.800, Completion:  5.901, Response: 0.101, WCRT: 0.470, Next Release:  6.100
0.649, Next Release:  6.100
Task 5- Release:  4.900, Completion:  5.941, Response: 1.041, WCRT: 1.091, Next Release:  6.100
Task 4- Release:  4.900, Completion:  6.035, Response: 1.135, WCRT: 1.184, Next Release:  6.100
Task 1- Release:  6.100, Completion:  6.198, Response: 0.098, WCRT: 0.470, Next Release:  6.400
Task 2- Release:  6.100, Completion:  6.290, Response: 0.190, WCRT: 0.649, Next Release:  6.500
Task 3- Release:  6.100, Completion:  6.394, Response: 0.294, WCRT: 0.821, Next Release:  6.700
Task 1- Release:  6.400, Completion:  6.497, Response: 0.097, WCRT: 0.470, Next Release:  6.700
Task 2- Release:  6.500, Completion:  6.608, Response: 0.108, WCRT: 0.649, Next Release:  6.900
Task 6- Release:  6.100, Completion:  6.686, Response: 0.586, WCRT: 0.895, Next Release:  7.300
Task 1- Release:  6.700, Completion:  6.795, Response: 0.095, WCRT: 0.470, Next Release:  7.000
Task 3- Release:  6.700, Completion:  6.889, Response: 0.189, WCRT: 0.821, Next Release:  7.300
