Task 1- Release:  0.100, Completion:  0.196, Response: 0.096, WCRT: 0.096, Next Release:  0.400
Task 2- Release:  0.100, Completion:  0.198, Response: 0.098, WCRT: 0.098, Next Release:  0.500
Task 3- Release:  0.100, Completion:  0.298, Response: 0.198, WCRT: 0.198, Next Release:  0.700
Task 1- Release:  0.400, Completion:  0.553, Response: 0.153, WCRT: 0.153, Next Release:  0.700
Task 2- Release:  0.500, Completion:  0.599, Response: 0.099, WCRT: 0.099, Next Release:  0.900
Task 1- Release:  0.700, Completion:  0.804, Response: 0.104, WCRT: 0.153, Next Release:  1.000
Task 3- Release:  0.700, Completion:  0.805, Response: 0.106, WCRT: 0.198, Next Release:  1.300
Task 2- Release:  0.900, Completion:  1.021, Response: 0.121, WCRT: 0.121, Next Release:  1.300
Task 1- Release:  1.000, Completion:  1.128, Response: 0.128, WCRT: 0.153, Next Release:  1.300
Task 1- Release:  1.300, Completion:  1.424, Response: 0.124, WCRT: 0.153, Next Release:  1.600
Task 2- Release:  1.300, Completion:  1.425, Response: 0.125, WCRT: 0.125, Next Release:  1.700
Task 3- Release:  1.300, Completion:  1.521, Response: 0.221, WCRT: 0.221, Next Release:  1.900
Task 1- Release:  1.600, Completion:  1.722, Response: 0.122, WCRT: 0.153, Next Release:  1.900
Task 2- Release:  1.700, Completion:  1.809, Response: 0.109, WCRT: 0.125, Next Release:  2.100
Task 1- Release:  1.900, Completion:  2.021, Response: 0.121, WCRT: 0.153, Next Release:  2.200
Task 3- Release:  1.900, Completion:  2.021, Response: 0.122, WCRT: 0.221, Next Release:  2.500
Task 2- Release:  2.100, Completion:  2.194, Response: 0.095, WCRT: 0.125, Next Release:  2.500
Task 1- Release:  2.200, Completion:  2.297, Response: 0.097, WCRT: 0.153, Next Release:  2.500
Task 1- Release:  2.500, Completion:  2.613, Response: 0.113, WCRT: 0.153, Next Release:  2.800
Task 2- Release:  2.500, Completion:  2.614, Response: 0.114, WCRT: 0.125, Next Release:  2.900
Task 3- Release:  2.500, Completion:  2.710, Response: 0.211, WCRT: 0.221, Next Release:  3.100
Task 1- Release:  2.800, Completion:  2.907, Response: 0.108, WCRT: 0.153, Next Release:  3.100
Task 2- Release:  2.900, Completion:  3.019, Response: 0.119, WCRT: 0.125, Next Release:  3.300
Task 3- Release:  3.100, Completion:  3.204, Response: 0.105, WCRT: 0.221, Next Release:  3.700
Task 1- Release:  3.100, Completion:  3.207, Response: 0.107, WCRT: 0.153, Next Release:  3.400
