Task 1- Release:  0.100, Completion:  0.210, Response: 0.110, WCRT: 0.110, Next Release:  0.400
Task 2- Release:  0.100, Completion:  0.310, Response: 0.210, WCRT: 0.210, Next Release:  0.500
Task 1- Release:  0.400, Completion:  0.505, Response: 0.105, WCRT: 0.110, Next Release:  0.700
Task 2- Release:  0.500, Completion:  0.604, Response: 0.104, WCRT: 0.210, Next Release:  0.900
Task 3- Release:  0.100, Completion:  0.610, Response: 0.510, WCRT: 0.510, Next Release:  0.700
Task 1- Release:  0.700, Completion:  0.814, Response: 0.114, WCRT: 0.114, Next Release:  1.000
Task 2- Release:  0.900, Completion: Task 1- Release:  1.000, Completion:  1.104, Response: 0.104, WCRT: 0.114, Next Release:  1.300
 1.003, Response: 0.103, WCRT: 0.210, Next Release:  1.300
Task 3- Release:  0.700, Completion:  1.115, Response: 0.415, WCRT: 0.510, Next Release:  1.300
Task 1- Release:  1.300, Completion:  1.418, Response: 0.118, WCRT: 0.118, Next Release:  1.600
Task 2- Release:  1.300, Completion:  1.522, Response: 0.222, WCRT: 0.222, Next Release:  1.700
Task 1- Release:  1.600, Completion:  1.711, Response: 0.111, WCRT: 0.118, Next Release:  1.900
Task 2- Release:  1.700, Completion:  1.813, Response: 0.113, WCRT: 0.222, Next Release:  2.100
Task 3- Release:  1.300, Completion:  1.827, Response: 0.527, WCRT: 0.527, Next Release:  1.900
Task 1- Release:  1.900, Completion:  2.013, Response: 0.113, WCRT: 0.118, Next Release:  2.200
Task 1- Release:  2.200, Completion:  2.304, Response: 0.104, WCRT: 0.118, Next Release:  2.500
Task 2- Release:  2.100, Completion:  2.305, Response: 0.205, WCRT: 0.222, Next Release:  2.500
Task 3- Release:  1.900, Completion:  2.316, Response: 0.416, WCRT: 0.527, Next Release:  2.500
Task 1- Release:  2.500, Completion:  2.617, Response: 0.117, WCRT: 0.118, Next Release:  2.800
Task 2- Release:  2.500, Completion:  2.718, Response: 0.218, WCRT: 0.222, Next Release:  2.900
Task 1- Release:  2.800, Completion:  2.905, Response: 0.105, WCRT: 0.118, Next Release:  3.100
Task 2- Release:  2.900, Completion:  3.005, Response: 0.105, WCRT: 0.222, Next Release:  3.300
